-- COMPILE DATE : Ver:4/29, BuildDate:May 26 2011 17:48:30 --
[00:00]AccountKick Fail - uid(0), 
[03:53]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3076, DB(UID):10894
[03:54]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3093, DB(UID):236446
[03:54]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3097, DB(UID):116339
[03:54]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3098, DB(UID):146879
[03:54]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3103, DB(UID):221072
[03:54]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3104, DB(UID):96310
[03:55]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:2939, DB(UID):71199
[03:55]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3139, DB(UID):72721
[03:55]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:2961, DB(UID):130177
[03:55]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3153, DB(UID):2603
[03:55]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3159, DB(UID):269540
[03:56]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3164, DB(UID):47902
[03:56]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3167, DB(UID):269775
[03:56]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3172, DB(UID):168365
[03:56]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3181, DB(UID):44512
[03:56]AccountKick Fail - uid(0), 
[03:56]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3196, DB(UID):169698
[03:57]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3212, DB(UID):54011
[03:57]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3217, DB(UID):107099
[03:57]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3219, DB(UID):270159
[03:57]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3223, DB(UID):164829
[03:57]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3040, DB(UID):125484
[03:57]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3231, DB(UID):270024
[03:57]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3045, DB(UID):103390
[03:58]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3254, DB(UID):206004
[03:58]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3257, DB(UID):241416
[03:58]AccountKick Fail - uid(0), 
[03:58]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3260, DB(UID):114979
[03:58]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3267, DB(UID):120817
[03:58]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3268, DB(UID):27037
[03:58]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3082, DB(UID):67012
[03:58]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3270, DB(UID):152846
[03:58]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3272, DB(UID):76822
[03:58]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3084, DB(UID):119151
[03:59]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3096, DB(UID):124961
[03:59]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3097, DB(UID):271108
[03:59]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3298, DB(UID):157495
[03:59]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3121, DB(UID):258588
[04:00]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3329, DB(UID):147043
[04:00]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3141, DB(UID):88088
[04:00]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3343, DB(UID):200871
[04:00]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3349, DB(UID):14085
[04:01]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3360, DB(UID):139394
[04:01]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3368, DB(UID):37218
[04:01]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3375, DB(UID):265895
[04:01]AccountKick Fail - uid(0), 
[04:01][ERROR]USER_LEAVE UID Error Server=1, iUID=68662
[04:01]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3394, DB(UID):58379
[04:01]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3208, DB(UID):188351
[04:01]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3395, DB(UID):99539
[04:02]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3213, DB(UID):239986
[04:03]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3248, DB(UID):166262
[04:03]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3450, DB(UID):174286
[04:03]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3266, DB(UID):50949
[04:03]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3269, DB(UID):183756
[04:03]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3279, DB(UID):47459
[04:03]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3474, DB(UID):270486
[04:04]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3487, DB(UID):246030
[04:04]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3317, DB(UID):26591
[04:04]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3511, DB(UID):210381
[04:05]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3335, DB(UID):128517
[04:05]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3337, DB(UID):26470
[04:05]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3535, DB(UID):68662
[04:05]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3350, DB(UID):244487
[04:05]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3546, DB(UID):5652
[04:05]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3550, DB(UID):120708
[04:06]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3564, DB(UID):174920
[04:06]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3569, DB(UID):259545
[04:06]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3571, DB(UID):266010
[04:06]AccountKick Fail - uid(0), 
[04:06][ERROR]PROTOCOL_AUTH_LOGOUT_REQ UserNone Server:1, SID:3535, UID:68662
[04:06]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3583, DB(UID):171255
[04:06]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3584, DB(UID):264233
[04:06]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3585, DB(UID):7286
[04:06]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3403, DB(UID):76729
[04:06]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3594, DB(UID):218879
[04:07]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3419, DB(UID):100815
[04:07]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3607, DB(UID):259685
[04:07]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3613, DB(UID):240240
[04:07]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3622, DB(UID):122991
[04:08]AccountKick Fail - uid(0), 
[04:08]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3661, DB(UID):192326
[04:08]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3476, DB(UID):134845
[04:08]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3667, DB(UID):13602
[04:09]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3496, DB(UID):144499
[04:09]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3690, DB(UID):37553
[04:09]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3505, DB(UID):59447
[04:09]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3693, DB(UID):64306
[04:09]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3705, DB(UID):186651
[04:10]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3720, DB(UID):71299
[04:10]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3749, DB(UID):49653
[04:11]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3573, DB(UID):8975
[04:11]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3790, DB(UID):141228
[04:12]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3792, DB(UID):252101
[04:12]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3806, DB(UID):64124
[04:12]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3825, DB(UID):99940
[04:13]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3835, DB(UID):199585
[04:13]AccountKick Fail - uid(0), 
[04:13]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3849, DB(UID):239879
[04:13]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3852, DB(UID):105571
[04:13]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3854, DB(UID):132829
[04:13]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3858, DB(UID):18440
[04:13]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3868, DB(UID):156453
[04:14]AccountKick Fail - uid(0), 
[04:14]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3883, DB(UID):69469
[04:14]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3712, DB(UID):106458
[04:14]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3713, DB(UID):136229
[04:15][ERROR]PROTOCOL_AUTH_LOGOUT_REQ UserNone Server:1, SID:2076, UID:5454
[04:15]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3929, DB(UID):247525
[04:15]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3939, DB(UID):143843
[04:16]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3762, DB(UID):121840
[04:16]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3956, DB(UID):114631
[04:16]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3964, DB(UID):81715
[04:16]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3784, DB(UID):271464
[04:16]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3984, DB(UID):115969
[04:17]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:3992, DB(UID):187339
[04:17]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:4014, DB(UID):102090
[04:17]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:4027, DB(UID):196433
[04:18]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:4035, DB(UID):164014
[04:18]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:4036, DB(UID):73684
[04:18]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:4049, DB(UID):25965
[04:18]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3865, DB(UID):269598
[04:18]AccountKick Fail - uid(0), 
[04:19]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:4086, DB(UID):86881
[04:19]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:3914, DB(UID):40545
[04:20]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:4108, DB(UID):25789
[04:20]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:4118, DB(UID):136477
[04:21]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:4167, DB(UID):17739
[04:21]AccountKick Fail - uid(0), 
[04:21]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:4174, DB(UID):74902
[04:22]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:4222, DB(UID):161927
[04:23]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:4227, DB(UID):141251
[04:23]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:4042, DB(UID):65020
[04:23]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:4234, DB(UID):37852
[04:23]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:4235, DB(UID):189631
[04:23]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:4239, DB(UID):85354
[04:23]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:4048, DB(UID):22378
[04:23]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:4056, DB(UID):18695
[04:23]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:4245, DB(UID):195820
[04:23]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:4249, DB(UID):64385
[04:23]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:4068, DB(UID):198326
[04:24]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:4080, DB(UID):245092
[04:24]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:4283, DB(UID):255818
[04:24]AccountKick Fail - uid(0), 
[04:24]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:4295, DB(UID):192397
[04:25]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:4116, DB(UID):36092
[04:25]AccountKick Fail - uid(0), 
[04:25]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:29, DB(UID):38705
[04:25]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:39, DB(UID):136979
[04:26]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:43, DB(UID):92508
[04:26]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:47, DB(UID):44817
[04:26]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:63, DB(UID):254691
[04:26]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:4184, DB(UID):95493
[04:26]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:4185, DB(UID):24562
[04:26]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:4187, DB(UID):172101
[04:26]AccountKick Fail - uid(0), 
[04:27]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:4196, DB(UID):268645
[04:27]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:86, DB(UID):211608
[04:27]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:4199, DB(UID):268198
[04:27]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:4215, DB(UID):246403
[04:27]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:106, DB(UID):17746
[04:28]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:129, DB(UID):206867
[04:28]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:133, DB(UID):270256
[04:28]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:135, DB(UID):245931
[04:28]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:4257, DB(UID):225578
[04:28]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:156, DB(UID):18891
[04:29]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:4276, DB(UID):76782
[04:29]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:4277, DB(UID):178867
[04:29]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:189, DB(UID):270831
[04:29]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:4299, DB(UID):18283
[04:29]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:197, DB(UID):40999
[04:30]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:199, DB(UID):128920
[04:30]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:25, DB(UID):109532
[04:30]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:217, DB(UID):50873
[04:30]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:43, DB(UID):269907
[04:31]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:74, DB(UID):134861
[04:31]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:78, DB(UID):720
[04:31]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:270, DB(UID):226558
[04:32]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:293, DB(UID):254446
[04:32]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:106, DB(UID):15139
[04:32]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:112, DB(UID):209374
[04:32]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:311, DB(UID):262767
[04:33]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:323, DB(UID):132384
[04:33]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:326, DB(UID):149582
[04:33]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:143, DB(UID):12260
[04:33]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:145, DB(UID):31382
[04:34]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:374, DB(UID):190955
[04:34]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:393, DB(UID):20353
[04:34]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:394, DB(UID):218116
[04:34]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:206, DB(UID):144865
[04:35]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:209, DB(UID):140459
[04:35]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:418, DB(UID):259592
[04:35]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:419, DB(UID):253189
[04:35]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:420, DB(UID):15663
[04:35]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:428, DB(UID):12303
[04:35]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:240, DB(UID):156941
[04:36]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:438, DB(UID):79361
[04:36]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:444, DB(UID):67232
[04:36]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:447, DB(UID):94095
[04:36]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:471, DB(UID):267689
[04:36]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:285, DB(UID):167038
[04:37][ERROR]PROTOCOL_AUTH_LOGOUT_REQ UserNone Server:2, SID:4080, UID:245092
[04:37]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:315, DB(UID):116225
[04:37]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:510, DB(UID):93458
[04:37]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:511, DB(UID):18059
[04:37]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:323, DB(UID):259728
[04:38]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:348, DB(UID):269913
[04:38]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:540, DB(UID):269685
[04:38]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:355, DB(UID):183351
[04:39]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:557, DB(UID):187066
[04:39]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:559, DB(UID):263761
[04:39]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:391, DB(UID):100171
[04:39]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:399, DB(UID):18867
[04:40]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:600, DB(UID):121901
[04:40]AccountKick Fail - uid(0), 
[04:40]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:622, DB(UID):65158
[04:41]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:639, DB(UID):21745
[04:41]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:645, DB(UID):29982
[04:41]AccountKick Fail - uid(0), 
[04:42]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:685, DB(UID):110066
[04:42]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:709, DB(UID):109278
[04:43]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:719, DB(UID):36855
[04:43]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:724, DB(UID):205082
[04:43]AccountKick Fail - uid(0), 
[04:43]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:745, DB(UID):36171
[04:44]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:754, DB(UID):206914
[04:44]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:765, DB(UID):20525
[04:44]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:773, DB(UID):116858
[04:44]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:596, DB(UID):42109
[04:44]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:788, DB(UID):133103
[04:45]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:606, DB(UID):17412
[04:45]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:608, DB(UID):29277
[04:45]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:809, DB(UID):209906
[04:45]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:815, DB(UID):219694
[04:45]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:816, DB(UID):100314
[04:45]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:634, DB(UID):97039
[04:45]PROTOCOL_ALIVE_USER_REQ NonUser : Server:0, SID:1073, DB(UID):36511
[04:46]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:651, DB(UID):142695
[04:46]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:850, DB(UID):61435
[04:47]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:877, DB(UID):80246
[04:47]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:881, DB(UID):21014
[04:48]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:718, DB(UID):184910
[04:48]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:914, DB(UID):259489
[04:48]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:925, DB(UID):226141
[04:48]AccountKick Fail - uid(0), 
[04:48]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:941, DB(UID):269369
[04:48]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:944, DB(UID):54031
[04:49]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:957, DB(UID):107595
[04:49]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:958, DB(UID):190407
[04:49]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:980, DB(UID):143856
[04:49]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:982, DB(UID):258751
[04:49]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:983, DB(UID):89976
[04:50]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:990, DB(UID):14177
[04:50]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:1000, DB(UID):106667
[04:50]AccountKick Fail - uid(0), 
[04:51]AccountKick Fail - uid(0), 
[04:51]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:870, DB(UID):86195
[04:51]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:1059, DB(UID):80520
[04:52]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:1068, DB(UID):22521
[04:52][ERROR]PROTOCOL_AUTH_LOGOUT_REQ UserNone Server:1, SID:3270, UID:152846
[04:52]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:1086, DB(UID):88414
[04:52]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:1090, DB(UID):230963
[04:52]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:1092, DB(UID):241947
[04:52]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:1097, DB(UID):268879
[04:52]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:1106, DB(UID):148404
[04:53]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:1117, DB(UID):27126
[04:53]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:1131, DB(UID):56164
[04:53]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:947, DB(UID):142020
[04:53]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:1142, DB(UID):91234
[04:54]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:1167, DB(UID):271354
[04:54]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:979, DB(UID):68926
[04:55]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:1192, DB(UID):5858
[04:55]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:1006, DB(UID):64715
[04:55]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:1008, DB(UID):191351
[04:55]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:1217, DB(UID):262500
[04:56]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:1232, DB(UID):234817
[04:56]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:1233, DB(UID):206587
[04:56]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:1257, DB(UID):23048
[04:57]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:1278, DB(UID):79126
[04:57]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:1288, DB(UID):215269
[04:58]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:1120, DB(UID):193369
[04:58]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:1322, DB(UID):269212
[04:58]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:1332, DB(UID):258267
[04:58][ERROR]PROTOCOL_AUTH_LOGOUT_REQ UserNone Server:2, SID:3865, UID:269598
[04:59][ERROR]PROTOCOL_AUTH_LOGOUT_REQ UserNone Server:2, SID:1231, UID:113033
[04:59]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:1364, DB(UID):243873
[04:59]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:1188, DB(UID):240230
[04:59]AccountKick Fail - uid(0), 
[04:59]PROTOCOL_ALIVE_USER_REQ NonUser : Server:2, SID:1193, DB(UID):61263
[05:00]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:1388, DB(UID):24881
[05:01]PROTOCOL_ALIVE_USER_REQ NonUser : Server:1, SID:1423, DB(UID):159181
